"categoryPath","title","author","heShortDesc","heDesc","heDescNew"
"שו""ת","שו""ת מהרש""ם חלק א","שלום מרדכי בן משה הכהן שוודרן","אוסף של למעלה מ-2,300 שאלות ותשובות הלכתיות מתחילת המאה ה-20 מאת ר' שלום מרדכי שבדרון","'שו״ת מהרש""ם' הוא אוסף של למעלה מ-2,300 שאלות ותשובות הלכתיות מתחילת המאה ה-20 שנכתבו על ידי רבי שלום מרדכי שבדרון, הידוע בראשי התיבות מהרש""ם. תשובותיו ההלכתיות בולטות בבהירותם, בניתוח יסודי של המקורות התלמודיים והרבניים, ובנטיה של המחבר להשתמש בכלי פסיקה ועיון כדי להגיע לעמדות מקלות כאשר הבחין בצורך בהן. ארבעת הכרכים הראשונים פורסמו בחייו של שבדרון, ושלושת הנותרים פורסמו לאחר מותו על ידי בנו ונכדו.","'שו""ת מהרש""ם' הוא אוסף של למעלה מ-2,300 שאלות ותשובות הלכתיות מתחילת המאה ה-20 מאת רבי שלום מרדכי שבדרון, הידוע בראשי התיבות מהרש""ם. תשובותיו ההלכתיות בולטות בבהירותן, בניתוח יסודי של המקורות התלמודיים והרבניים, ובנטייתו להקל כאשר הבחין בצורך בכך. ארבעת הכרכים הראשונים נדפסו בחייו, ושלושת הנותרים לאחר פטירתו על ידי בנו ונכדו."
"שו""ת>מחברי זמננו","משפטי עוזיאל","בן ציון מאיר חי עוזיאל","ספר שאלות ותשובות רב־כרכים מאת הרב בן־ציון עוזיאל, הרב הראשי הספרדי הראשון של מדינת ישראל.","",""
"שו""ת>אחרונים","נודע ביהודה מהדורא תנינא","יחזקאל לנדא","כרך שני של שאלות ותשובות מאת הרב יחזקאל לנדא. יצא לאור לאחר פטירתו על ידי בנו הרב שמואל לנדא, שהוסיף גם 60 תשובות משלו.","",""
"שו""ת>אחרונים","האלף לך שלמה","שלמה קלוגר","שאלות ותשובות מאת הרב שלמה קלוגר, בן המאה ה-19.","",""
"שו""ת>אחרונים","תשובה מאהבה חלק א","אלעזר פלקלס","שאלות ותשובות מאת הרב אלעזר פלקלס, בן המאה ה-19, מגדולי תלמידיו של הנודע ביהודה.","",""
"שו""ת>אחרונים","תשובות משיב דבר","נפתלי צבי יהודה ברלין","קובץ שאלות ותשובות הלכתיות מהמאה ה-19 מאת ר' נפתלי צבי יהודה ברלין, הנצי""ב","'שו""ת משיב דבר' הוא קובץ שו""ת מהמאה ה-19 מאת רבי נפתלי צבי יהודה ברלין, הידוע בראשי התיבות נצי""ב. הוא מורכב מתשובות שכתב ברלין בתגובה לשאלות שקיבל מקהילות ברחבי העולם בנושאים הלכתיים ועניינים ציבוריים. ברלין הכין את הספר לפרסום לקראת סוף ימיו בהיותו בוורשה לאחר סגירת ישיבתו בוולז'ין. אשתו וילדיו פרסמו את הספר ב-1894, שישה חודשים לאחר מותו. התשובות ההלכתיות מסודרות בספר באופן נושאי לפי ארבעת החלקים בשולחן ערוך.","'שו""ת משיב דבר' הוא קובץ שאלות ותשובות מהמאה ה-19 מאת רבי נפתלי צבי יהודה ברלין, הידוע בראשי התיבות נצי""ב. הוא כולל תשובות שכתב בתגובה לשאלות שקיבל מקהילות ברחבי העולם בענייני הלכה ובעניינים ציבוריים. הנצי""ב הכין את הספר לדפוס לקראת סוף ימיו בהיותו בוורשה לאחר סגירת ישיבתו בוולוז'ין. אשתו וילדיו הוציאוהו לאור בשנת 1894, כחצי שנה לאחר פטירתו. התשובות מסודרות לפי ארבעת חלקי השולחן ערוך."
"שו""ת>אחרונים","שו""ת מהרי""ט","יוסף מטראני","ספר שאלות ותשובות מאת הרב יוסף מטראני, בן המאה ה-17, שבניו הוציאו לאור אחרי מותו.","",""
"שו""ת>אחרונים","שו""ת חתם סופר","משה סופר","ספר שאלות ותשובות רב־השפעה מאת הרב משה סופר, בן המאה ה-19, שעמד בפרץ להגן על שמירת התורה והמצוות מפני תנועת ההשכלה והרפורמה.","",""
"שו""ת>אחרונים","נודע ביהודה מהדורא קמא","יחזקאל לנדא","ספר שאלות ותשובות רב־השפעה מאת הרב יחזקאל לנדא, בן המאה ה-18, הנודע בשל ייחוסו המרכזי לתלמוד כמקור לפסיקת ההלכה.","",""
"שו""ת>אחרונים","תורת נתנאל","נתנאל וייל","שאלות ותשובות מאת הרב נתנאל וייל, רב בגרמניה במאה ה-18 ומחבר הספר ""קרבן נתנאל"".","שו""ת מבעל קרבן נתנאל","ספר שאלות ותשובות מאת רבי נתנאל וייל, בעל 'קרבן נתנאל'."
