MefareshDesc,AuthorName
כסף משנה,
מגדל עוז,
פירוש,
אדני יד החזקה,"ר' אדוניהו קראוס (תרס""א-תשמ""ז)"
אוצר המלך,"מר' צדוק הכהן מלובלין (תקפ""ג-תר""ס)"
אמונה ותורה,"מהרה""ג ר' משה שטרנבוך שליט""א (בחיים)"
דברי ירמיהו,"מר' ירמיהו ב""ר בנימין מאוהעל (נלב""ע תרל""ד)"
דברים נחמדים,"ר' צבי אלימלך שפירא אדמו""ר מדינוב (נלב""ע תר""א)"
"הגהות מהר""ם פדווא","ר' מאיר קאצענעלענבאגען (רכ""א-שכ""ה)"
זיו משנה,"ר' זאב וואלף טורבאוויץ (תר""ו-תרפ""ב)"
חוזק יד,"מר' שלמה ב""ר שמואל מובחר (ש""ע-ת""מ בערך)"
יד המלך,"מר' אליה פאלומבו (נלב""ע תק""ס בערך)"
יצחק ירנן,"מר' אליקים ב""ר יצחק גאטינייו (נלב""ע תקנ""ה)"
"לשונות הרמב""ם","הרדב""ז"
מעשה רוקח,"מר' מסעוד חי ב""ר אהרן רקח (נלב""ע תקכ""ח)"
מרכבת המשנה (2),"ר' שלמה אשכנזי אב""ד לבוב (נלב""ע תקמ""א)"
משרת משה,"מר' יצחק עטייה (תקט""ו-ת""ר בערך)"
סדר משנה 2,"וואלף הלוי ב""ר יוסף מבאסקוויץ (ת""ק בערך-תקע""ח)"
עבד המלך,"ר' עובדיה הדאיה (תר""ן-תשכ""ט)"
עבודת המלך,"מר' מנחם במוהרצ""ה קראקאווסקי מוילנה (תר""ל-תר""צ)"
פרי האדמה,"מר' מיוחס ב""ר שמואל (נלב""ע תקל""א)"
קובץ על היד החזקה,"ר' מנחם נחום טריביטש (תקל""ט-תר""ב)"
שארית נתן,"מר' נתן לוברט (תרע""ז-תשנ""ג)"
אור שמח,"מר' מאיר שמחה מדווינסק (תר""ג-תרפ""ו)"
"יד יעב""ץ","ר' יעקב עמדין (תנ""ח-תקל""ו)"
המאיר לארץ,מר' מאיר סולווייצ'יק
אבן האזל,"מר' איסר זלמן מלצר (תר""ל-תשי""ד)"
אור הישר,"מר' שמואל יצחק הילמן מלונדון (תרכ""ח-תשי""ג)"
מאמר מרדכי,"מר' מרדכי ב""ר מנחם (נלב""ע תק""ח)"
מעשה רב,"מר' בצלאל הכהן ואחיו ר' שלמה מווילנא (נלב""ע תרל""ח)"
אם הבנים,"מר' חיים משה ב""ר יצחק מצליח (נלב""ע תרנ""ג)"
אחרית דבר,"מר' משה ב""ר פנחס לוצקי (תרנ""ה-תשל""ו)"
יד איתן על יד החזקה,"מר' אברהם בעמ""ח משכיל לאיתן (תקמ""ח-תר""ח)"
לב שלם,"מר' שלמה ב""ר יחיאל שלם מאמסטרדאם (נלב""ע תקמ""א)"
באר אליעזר,"מר' אליעזר ליפמן נייזאץ (נלב""ע תרי""ט)"
בני בנימין,"מר' אליהו דוד תאומים רבינוביץ (תר""ג-תרס""ה)"
"מקורי הרמב""ם לרש""ש","ר' שמואל שטראשון (תקנ""ד-תרל""ב)"
לקוטי חבר בן חיים,"ר' חזקי' פייבל פלויט (תקע""ח-תרנ""ה)"
ישועה בישראל,"מר' יהונתן ב""ר יוסף מראזנאי ליטא (ת""ל-ת""ק בערך)"
בן אריה,"מר' זאב ב""ר אריה אב""ד גאלדינגען וטעלז (נלב""ע תרי""ח)"
מראה הנוגה,"ר' רפאל אשכנזי (נלב""ע תקפ""ו)"
פני הבית (בית אב),"מר' יצחק ענתבי (נלב""ע תקס""ד)"
אבן ישראל,"מר' ישראל יעקב ב""ר אהרן פישר ראב""ד י-ם (תרפ""ח-תשס""ג)"
אור גדול,"מר' ירוחם יהודא ליב פערילמאן ממינסק (נלב""ע תרנ""ו)"
אור פני משה,"מר' שלמה ב""ר אברהם ליכטנשטיין (תק""כ-תקמ""ג)"
בית המלך 2,ר' יוסף ארי' ליב בוים (נספה בשואה)
ברכת שלמה,"שלמה טנא (טנוביצקי) רב בבאר שבע (תרע""ד- תשמ""ו)"
גור אריה,"מר' מסעוד ב""ר יהודה צ'רמון מוהראן"
דרך המלך (2),"ר דובעריש ראפפורט (תקפ""ד-תרס""ו)"
חידושי מים חיים,"מהגאון בעל פרי חדש זצ""ל (תי""ט-תנ""ח)"
חיים ומלך,"מר' חיים פאלאג'י (נלב""ע תרכ""ח)"
טורי אבן,"ר' אלעזר רוקח אב""ד אמסטרדאם (נלב""ע תק""ב)"
כתר המלך,"מר' כתריאל אהרן ב""ר הילל מאגוסטאוו (תר""ו-תרפ""ב)"
מקראי קודש,"מהרה""ג רבי חיים אבואלעפיא (נלב""ע תק""ד)"
מרכבת המשנה (1),"ר' אהרן אלפאנדרי (נלב""ע תקל""ד)"
פרשת המלך,"מר' יצחק מאיר בן-מנחם (פצינר) (תרנ""ח-תש""כ)"
רבינו חיים הלוי,
שלל דוד,"מר' דוד ב""ר שמואל מועטי"
תורת ישראל,"מר' ישראל פייגנבוים (תר""פ-תשנ""ו)"
לחם משנה,
משנה למלך,
אמרי אמת,"מר' אברהם מרדכי ב""ר יהודה אריה לייב מגור (תרכ""ו-תש""ח)"
באר יהודא,"מר' אברהם ב""ר יהודה שלוזאור אב""ד חאדעץ"
בן אברהם,"מר' חיים אברהם אישטרושה משירון (תק""כ-תקע""ד)"
בן ידיד,"מר' ידידיה שמואל טאריקה (תע""ג-תקכ""ט)"
דרך המלך (3),"מאת רפאל יוסף בן רבי (נלב""ע תקנ""א)"
"חידושי מהרא""ך","ר' אלעזר הכהן (תקנ""א-תרמ""ב)"
"חידושי רע""א על הרמב""ם","מר' עקיבא איגר (תקכ""ב-תקצ""ח)"
יד המלך 2,"ר' אלעזר לנדא (תקל""ח-תקצ""א)"
מגן שאול,"מהרב חנניה שאול (נלב""ע תפ""ח)"
נרות אהרן,"ר' אברהם אהרן הלוי פראג (תר""ל-תרפ""א)"
ר' עקיבא אייגר,
שם יוסף,"מר' יוסף אליקים (נלב""ע תקנ""א)"
שמן המשחה,"מר' שמואל ב""ר משה חיים (נלב""ע תר""ב)"
בגדי ישע,"מר' ישעיה עטייה (תצ""ג-תקס""ה בערך)"
בית לוי,"יעקב ב""ר מרדכי סענדר קאפשטיין דיין בלידא (תר""ז-תרצ""ד)"
בנין הלכה,"הרב אהרן חיים הלוי צימערמאן ר""מ שיקגו (תרע""ב-תשנ""ה)"
דברי חן,"חיים ב""ר אברהם נאטענזאהן מזידיק (תקצ""ח-תרס""ד)"
דרך המלך (1),"ר' חיים יעקב חוויידנסקי (נלב""ע תר""ע בערך)"
זכר ישעיהו,"מר' זכריה ישעיה יאללעש ממינסק (תקע""ד-תרי""ב)"
לשד השמן,"משה נחום ב""ר בנימין ירושלימסקי (תרט""ו-תרע""ו)"
מטה אפרים,מר' אפרים ארדיט ואחיינו ר' חיים אברהם ארדיט
מעשה נסים,ר' נסים הכהן
נחלת בנימין,"מר' בנימין מנחם ב""ר זבולון שווארצמאן (נלב""ע תש""ד)"
עזוז חייל,"חיים יהודה לייב אייגעש מקאוונא (נלב""ע תרל""ז)"
עטרת טוביה,"מר' טוביה יהודה טביומי (גוטנטג ) (תרמ""ב-תשי""ג)"
פרי הארץ,"מר' ישראל מאיר מזרחי מירושלים (נלב""ע תק""י בערך)"
פרי עץ חיים,"ר' חיים אביגדור (ת""ס-תק""ה בערך)"
תבונה,ר' יצחק אייזיק קרסילשציקוב
ארץ יהודא,"מר' יהודה טנוגי (נלב""ע ת""ע)"
מחנה יהודה,"מר' יהודה קצין (תס""ח-תקמ""ד)"
נתיב מאיר,"מאיר לייב בן יהושע מרדכי מעץ אב""ד קיידאן (נספה בשואה)"
עיני דוד,"ר' דוד אמאדו (תקל""ז-תקצ""ב)"
"שו""ת דרכי שלום","ר' יחיאל מיכל ב""ר שלום לייטער (תרכ""ה-תרצ""ג)"
לקוטי שלמה,"מר' שלמה הכהן קליין אב""ד זענטא (נלב""ע תרפ""ט)"
נוה שלום 1,ר' שלום איזראעלסאן
אהלי יהודה,"מר' יהודה בכר שלמה הכהן (נלב""ע תר""י)"
בד קודש,"מר' ברכה דאנון (נלב""ע תר""ה)"
בית ישחק,"מר' יצחק ב""ר אליקים גאטינייו (נלב""ע תק""ס)"
בנין שלמה,"מר' שלמה קלוגער אב""ד בראד (תקמ""ג-תרכ""ט)"
דובר מישרים,"ר' רפאל מרדכי יהושע שאול (נלב""ע תקס""ח)"
טעם המלך,"ר' ברוך ייטלש מפראג (תקכ""ב-תקע""ד)"
"כבוד יו""ט","יו""ט דאנון (נלב""ע תקפ""ג)"
לחם אבירים,"ר' יעקב משה ב""ר אברהם (נלב""ע תרנ""ג)"
מלאכת שלמה,"מר' שלמה חכים (נלב""ע תקצ""ח)"
משה ידבר,"מר' משה ישראל מרודיס (נלב""ע תקמ""ב)"
נחל איתן,"מר' אברהם ב""ר יהודה לייב (תקמ""ח-תר""ח)"
שורשי הים,"ר' רפאל יצחק מאייו (נלב""ע תק""ע)"
שלחן המלך,"מר' יוסף בן עזרא (תק""מ-תר""ד)"
שער המלך,"מר' יצחק ב""ר משה נוניס (נלב""ע תקל""ג)"
זרע יצחק,"ר' יצחק לומברוזו (נלב""ע תקי""ב)"
השגות הראבד,
לי לישועה,"ישועה ב""ר יצחק הלוי (נלב""ע תרס""ו)"
מכתם לדוד,"דוד חיים שמואל חסאן (נלב""ע תקפ""ד)"
משאת המלך,"הרב שמעון משה דיסקין (נלב""ע תשנ""ט)"
ראשון לציון,"ר' חיים בן עטר (תנ""ו-תק""ג)"
תבואת יקב,"אברהם בלעי""ש (תקל""ג-תרי""ג)"
היכל מלך,"אברהם לייב אריה הבחור (נלב""ע תק""ס בערך)"
"נימוקי הגרי""ב","יהודה בכרך אב""ד סיניי (נלב""ע תר""ו)"
בני יהודא,"והוא ספר לחם יהודא חלק ב וצריך לשלבו לשם (נלב""ע תקכ""א)"
יד שלמה,"מר' שלמה הלל ב""ר ישראל מאיר מווארשא (נלב""ע תרל""ד)"
בני דוד,"מר' דוד פאלקון (ת""ל-תצ""ה בערך)"
"ציוני מהר""ן","ר' נחום אש (תרי""ח-תרצ""ו)"
ביאור חדש מספיק,"מר' שלמה ב""ר חניך לוי"
דעת ומחשבה,"מהרה""ג ר' משה שטרנבוך שליט""א (בחיים)"
ויקח אברהם,"ר' אברהם קורקידי (תקע""ג-תרמ""ה)"
מדות ודעות,"הרב שמריהו ליב הורביץ (תרל""ח-תרצ""ח)"
