ref,line_index
"Minchat Ani on Torah, An Introduction by the Author's Son 1",4
"Minchat Ani on Torah, An Introduction by the Author's Son 2",5
"Minchat Ani on Torah, An Introduction by the Author's Son 3",6
"Minchat Ani on Torah, An Introduction by the Author's Son 4",7
"Minchat Ani on Torah, An Introduction by the Author's Son 5",8
"Minchat Ani on Torah, Bereshit 1",10
"Minchat Ani on Torah, Bereshit 2",11
"Minchat Ani on Torah, Bereshit 3",12
"Minchat Ani on Torah, Bereshit 4",13
"Minchat Ani on Torah, Bereshit 5",14
"Minchat Ani on Torah, Bereshit 6",15
"Minchat Ani on Torah, Bereshit 7",16
"Minchat Ani on Torah, Bereshit 8",17
"Minchat Ani on Torah, Bereshit 9",18
"Minchat Ani on Torah, Noach 1",20
"Minchat Ani on Torah, Noach 2",21
"Minchat Ani on Torah, Noach 3",22
"Minchat Ani on Torah, Noach 4",23
"Minchat Ani on Torah, Noach 5",24
"Minchat Ani on Torah, Noach 6",25
"Minchat Ani on Torah, Noach 7",26
"Minchat Ani on Torah, Noach 8",27
"Minchat Ani on Torah, Noach 9",28
"Minchat Ani on Torah, Lech Lecha 1",30
"Minchat Ani on Torah, Lech Lecha 2",31
"Minchat Ani on Torah, Lech Lecha 3",32
"Minchat Ani on Torah, Lech Lecha 4",33
"Minchat Ani on Torah, Lech Lecha 5",34
"Minchat Ani on Torah, Lech Lecha 6",35
"Minchat Ani on Torah, Vayera 1",37
"Minchat Ani on Torah, Vayera 2",38
"Minchat Ani on Torah, Vayera 3",39
"Minchat Ani on Torah, Vayera 4",40
"Minchat Ani on Torah, Vayera 5",41
"Minchat Ani on Torah, Vayera 6",42
"Minchat Ani on Torah, Vayera 7",43
"Minchat Ani on Torah, Vayera 8",44
"Minchat Ani on Torah, Chayei Sara 1",46
"Minchat Ani on Torah, Chayei Sara 2",47
"Minchat Ani on Torah, Chayei Sara 3",48
"Minchat Ani on Torah, Chayei Sara 4",49
"Minchat Ani on Torah, Chayei Sara 5",50
"Minchat Ani on Torah, Chayei Sara 6",51
"Minchat Ani on Torah, Toldot 1",53
"Minchat Ani on Torah, Toldot 2",54
"Minchat Ani on Torah, Toldot 3",55
"Minchat Ani on Torah, Toldot 4",56
"Minchat Ani on Torah, Toldot 5",57
"Minchat Ani on Torah, Toldot 6",58
"Minchat Ani on Torah, Vayetzei 1",60
"Minchat Ani on Torah, Vayetzei 2",61
"Minchat Ani on Torah, Vayetzei 3",62
"Minchat Ani on Torah, Vayetzei 4",63
"Minchat Ani on Torah, Vayetzei 5",64
"Minchat Ani on Torah, Vayishlach 1",66
"Minchat Ani on Torah, Vayishlach 2",67
"Minchat Ani on Torah, Vayishlach 3",68
"Minchat Ani on Torah, Vayishlach 4",69
"Minchat Ani on Torah, Vayishlach 5",70
