ref,line_index
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Kaparot 1",6
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Kaparot 2",7
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Kaparot 3",8
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Kaparot 4",9
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Kaparot 5",10
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Kaparot 6",11
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Kaparot 7",12
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Kaparot 8",13
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 1",15
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 2",16
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 3",17
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 4",18
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 5",19
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 6",20
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 7",21
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 8",22
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 9",23
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 10",24
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 11",25
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 12",26
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 13",27
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 14",28
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 15",29
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 16",30
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 17",31
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 18",32
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 19",33
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 20",34
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 21",35
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 22",36
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 23",37
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 24",38
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 25",39
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 26",40
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 27",41
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 28",42
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 29",43
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 30",44
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 31",45
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 32",46
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 33",47
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 34",48
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 35",49
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 36",50
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 37",51
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 38",52
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 39",53
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 40",54
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 41",55
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 42",56
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 43",57
"The Koren Yom Kippur Mahzor; Ashkenaz, Yom Kippur Eve, Mincha 44",58
