ref,line_index
"Derekh Pikudekha, Introduction 1:1",5
"Derekh Pikudekha, Introduction 1:2",6
"Derekh Pikudekha, Introduction 1:3",7
"Derekh Pikudekha, Introduction 1:4",8
"Derekh Pikudekha, Introduction 1:5",9
"Derekh Pikudekha, Introduction 1:6",10
"Derekh Pikudekha, Introduction 1:7",11
"Derekh Pikudekha, Introduction 1:8",12
"Derekh Pikudekha, Introduction 1:9",13
"Derekh Pikudekha, Introduction 1:10",14
"Derekh Pikudekha, Introduction 2:1",16
"Derekh Pikudekha, Introduction 2:2",17
"Derekh Pikudekha, Introduction 2:3",18
"Derekh Pikudekha, Introduction 2:4",19
"Derekh Pikudekha, Introduction 3:1",21
"Derekh Pikudekha, Introduction 3:2",22
"Derekh Pikudekha, Introduction 3:3",23
"Derekh Pikudekha, Introduction 3:4",24
"Derekh Pikudekha, Introduction 4:1",26
"Derekh Pikudekha, Introduction 4:2",27
"Derekh Pikudekha, Introduction 4:3",28
"Derekh Pikudekha, Introduction 4:4",29
"Derekh Pikudekha, Introduction 4:5",30
"Derekh Pikudekha, Introduction 4:6",31
"Derekh Pikudekha, Introduction 5:1",33
"Derekh Pikudekha, Introduction 5:2",34
"Derekh Pikudekha, Introduction 5:3",35
"Derekh Pikudekha, Introduction 5:4",36
"Derekh Pikudekha, Introduction 5:5",37
"Derekh Pikudekha, Introduction 5:6",38
"Derekh Pikudekha, Introduction 5:7",39
"Derekh Pikudekha, Introduction 5:8",40
"Derekh Pikudekha, Introduction 5:9",41
"Derekh Pikudekha, Introduction 5:10",42
"Derekh Pikudekha, Introduction 5:11",43
"Derekh Pikudekha, Introduction 6:1",45
"Derekh Pikudekha, Introduction 6:2",46
"Derekh Pikudekha, Introduction 6:3",47
"Derekh Pikudekha, Introduction 6:4",48
"Derekh Pikudekha, Introduction 6:5",49
"Derekh Pikudekha, Introduction 6:6",50
"Derekh Pikudekha, Introduction 6:7",51
"Derekh Pikudekha, Introduction 6:8",52
"Derekh Pikudekha, Introduction 6:9",53
"Derekh Pikudekha, Introduction 6:10",54
"Derekh Pikudekha, Introduction 6:11",55
"Derekh Pikudekha, Introduction 6:12",56
"Derekh Pikudekha, Introduction 6:13",57
"Derekh Pikudekha, Introduction 6:14",58
"Derekh Pikudekha, Introduction 6:15",59
"Derekh Pikudekha, Introduction 6:16",60
"Derekh Pikudekha, Introduction 6:17",61
"Derekh Pikudekha, Introduction 6:18",62
"Derekh Pikudekha, Introduction 6:19",63
"Derekh Pikudekha, Introduction 6:20",64
"Derekh Pikudekha, Introduction 6:21",65
"Derekh Pikudekha, Introduction 6:22",66
"Derekh Pikudekha, Introduction 7:1",68
"Derekh Pikudekha, Introduction 7:2",69
"Derekh Pikudekha, Introduction 7:3",70
"Derekh Pikudekha, Introduction 7:4",71
"Derekh Pikudekha, Introduction 7:5",72
"Derekh Pikudekha, Introduction 7:6",73
"Derekh Pikudekha, Introduction 7:7",74
"Derekh Pikudekha, Introduction 7:8",75
"Derekh Pikudekha, Introduction 7:9",76
"Derekh Pikudekha, Introduction 7:10",77
"Derekh Pikudekha, Introduction 7:11",78
"Derekh Pikudekha, Introduction 7:12",79
"Derekh Pikudekha, Introduction 7:13",80
"Derekh Pikudekha, Introduction 7:14",81
"Derekh Pikudekha, Introduction 7:15",82
"Derekh Pikudekha, Introduction 7:16",83
"Derekh Pikudekha, Introduction 7:17",84
"Derekh Pikudekha, Introduction 7:18",85
"Derekh Pikudekha, Introduction 7:19",86
"Derekh Pikudekha, Introduction 7:20",87
"Derekh Pikudekha, Introduction 7:21",88
"Derekh Pikudekha, Introduction 7:22",89
Derekh Pikudekha 1:1,91
Derekh Pikudekha 1:2,92
Derekh Pikudekha 1:3,93
Derekh Pikudekha 1:4,94
Derekh Pikudekha 1:5,95
Derekh Pikudekha 1:6,96
Derekh Pikudekha 1:7,97
Derekh Pikudekha 1:8,98
Derekh Pikudekha 1:9,99
Derekh Pikudekha 1:10,100
Derekh Pikudekha 1:11,101
Derekh Pikudekha 1:12,102
Derekh Pikudekha 1:13,103
Derekh Pikudekha 1:14,104
Derekh Pikudekha 1:15,105
Derekh Pikudekha 1:16,106
Derekh Pikudekha 1:17,107
Derekh Pikudekha 1:18,108
Derekh Pikudekha 1:19,109
Derekh Pikudekha 1:20,110
Derekh Pikudekha 1:21,111
Derekh Pikudekha 1:22,112
Derekh Pikudekha 1:23,113
Derekh Pikudekha 1:24,114
Derekh Pikudekha 1:25,115
Derekh Pikudekha 1:26,116
Derekh Pikudekha 1:27,117
Derekh Pikudekha 1:28,118
Derekh Pikudekha 1:29,119
Derekh Pikudekha 1:30,120
Derekh Pikudekha 1:31,121
