ref,line_index
"Middot HaRa'ayah, Introduction 1",4
"Middot HaRa'ayah, Introduction 2",5
"Middot HaRa'ayah, On Character Traits 1",7
"Middot HaRa'ayah, On Character Traits 2",8
"Middot HaRa'ayah, Love 1",10
"Middot HaRa'ayah, Love 2",11
"Middot HaRa'ayah, Love 3",12
"Middot HaRa'ayah, Love 4",13
"Middot HaRa'ayah, Love 5",14
"Middot HaRa'ayah, Love 6",15
"Middot HaRa'ayah, Love 7",16
"Middot HaRa'ayah, Love 8",17
"Middot HaRa'ayah, Love 9",18
"Middot HaRa'ayah, Love 10",19
"Middot HaRa'ayah, Love 11",20
"Middot HaRa'ayah, Love 12",21
"Middot HaRa'ayah, Faith 1",23
"Middot HaRa'ayah, Faith 2",24
"Middot HaRa'ayah, Faith 3",25
"Middot HaRa'ayah, Faith 4",26
"Middot HaRa'ayah, Faith 5",27
"Middot HaRa'ayah, Faith 6",28
"Middot HaRa'ayah, Faith 7",29
"Middot HaRa'ayah, Faith 8",30
"Middot HaRa'ayah, Faith 9",31
"Middot HaRa'ayah, Faith 10",32
"Middot HaRa'ayah, Faith 11",33
"Middot HaRa'ayah, Faith 12",34
"Middot HaRa'ayah, Faith 13",35
"Middot HaRa'ayah, Faith 14",36
"Middot HaRa'ayah, Faith 15",37
"Middot HaRa'ayah, Faith 16",38
"Middot HaRa'ayah, Faith 17",39
"Middot HaRa'ayah, Faith 18",40
"Middot HaRa'ayah, Faith 19",41
"Middot HaRa'ayah, Faith 20",42
"Middot HaRa'ayah, Faith 21",43
"Middot HaRa'ayah, Faith 22",44
"Middot HaRa'ayah, Faith 23",45
"Middot HaRa'ayah, Faith 24",46
"Middot HaRa'ayah, Faith 25",47
"Middot HaRa'ayah, Faith 26",48
"Middot HaRa'ayah, Faith 27",49
"Middot HaRa'ayah, Faith 28",50
"Middot HaRa'ayah, Faith 29",51
"Middot HaRa'ayah, Faith 30",52
"Middot HaRa'ayah, Faith 31",53
"Middot HaRa'ayah, Faith 32",54
"Middot HaRa'ayah, Faith 33",55
"Middot HaRa'ayah, Faith 34",56
"Middot HaRa'ayah, Covenant 1",58
"Middot HaRa'ayah, Covenant 2",59
"Middot HaRa'ayah, Covenant 3",60
"Middot HaRa'ayah, Pride 1",62
"Middot HaRa'ayah, Pride 2",63
"Middot HaRa'ayah, Pride 3",64
"Middot HaRa'ayah, Pride 4",65
"Middot HaRa'ayah, Pride 5",66
"Middot HaRa'ayah, Pride 6",67
"Middot HaRa'ayah, Pride 7",68
"Middot HaRa'ayah, Pride 8",69
"Middot HaRa'ayah, Pride 9",70
"Middot HaRa'ayah, Pride 10",71
"Middot HaRa'ayah, Pride 11",72
"Middot HaRa'ayah, Pride 12",73
"Middot HaRa'ayah, Pride 13",74
"Middot HaRa'ayah, Pride 14",75
"Middot HaRa'ayah, Pride 15",76
"Middot HaRa'ayah, Pride 16",77
"Middot HaRa'ayah, Pride 17",78
"Middot HaRa'ayah, Pride 18",79
"Middot HaRa'ayah, Pride 19",80
"Middot HaRa'ayah, Pride 20",81
"Middot HaRa'ayah, Pride 21",82
"Middot HaRa'ayah, Pride 22",83
"Middot HaRa'ayah, Pride 23",84
"Middot HaRa'ayah, Pride 24",85
"Middot HaRa'ayah, Pride 25",86
"Middot HaRa'ayah, Pride 26",87
"Middot HaRa'ayah, Pride 27",88
"Middot HaRa'ayah, Cleaving 1",90
"Middot HaRa'ayah, Cleaving 2",91
"Middot HaRa'ayah, Cleaving 3",92
"Middot HaRa'ayah, Cleaving 4",93
"Middot HaRa'ayah, Cleaving 5",94
"Middot HaRa'ayah, Raising the Sparks 1",96
"Middot HaRa'ayah, Raising the Sparks 2",97
"Middot HaRa'ayah, Raising the Sparks 3",98
"Middot HaRa'ayah, Raising the Sparks 4",99
"Middot HaRa'ayah, Raising the Sparks 5",100
"Middot HaRa'ayah, Raising the Sparks 6",101
"Middot HaRa'ayah, Raising the Sparks 7",102
"Middot HaRa'ayah, Freedom 1",104
"Middot HaRa'ayah, Awe 1",106
"Middot HaRa'ayah, Awe 2",107
"Middot HaRa'ayah, Awe 3",108
"Middot HaRa'ayah, Awe 4",109
"Middot HaRa'ayah, Awe 5",110
"Middot HaRa'ayah, Awe 6",111
"Middot HaRa'ayah, Awe 7",112
"Middot HaRa'ayah, Awe 8",113
"Middot HaRa'ayah, Awe 9",114
"Middot HaRa'ayah, Awe 10",115
"Middot HaRa'ayah, Awe 11",116
"Middot HaRa'ayah, Awe 12",117
"Middot HaRa'ayah, Awe 13",118
"Middot HaRa'ayah, Awe 14",119
"Middot HaRa'ayah, Awe 15",120
"Middot HaRa'ayah, Awe 16",121
"Middot HaRa'ayah, Awe 17",122
"Middot HaRa'ayah, Awe 18",123
"Middot HaRa'ayah, Awe 19",124
"Middot HaRa'ayah, Honor 1",126
"Middot HaRa'ayah, Honor 2",127
"Middot HaRa'ayah, Honor 3",128
"Middot HaRa'ayah, Honor 4",129
"Middot HaRa'ayah, Honor 5",130
"Middot HaRa'ayah, Honor 6",131
"Middot HaRa'ayah, Honor 7",132
"Middot HaRa'ayah, Honor 8",133
"Middot HaRa'ayah, Honor 9",134
"Middot HaRa'ayah, Anger 1",136
"Middot HaRa'ayah, Patience 1",138
"Middot HaRa'ayah, Humility 1",140
"Middot HaRa'ayah, Humility 2",141
"Middot HaRa'ayah, Humility 3",142
"Middot HaRa'ayah, Humility 4",143
"Middot HaRa'ayah, Humility 5",144
"Middot HaRa'ayah, Humility 6",145
"Middot HaRa'ayah, Humility 7",146
"Middot HaRa'ayah, Humility 8",147
"Middot HaRa'ayah, Humility 9",148
"Middot HaRa'ayah, Humility 10",149
"Middot HaRa'ayah, Humility 11",150
"Middot HaRa'ayah, Cowardice 1",152
"Middot HaRa'ayah, Cowardice 2",153
"Middot HaRa'ayah, Cowardice 3",154
"Middot HaRa'ayah, Cowardice 4",155
"Middot HaRa'ayah, Righteousness 1",157
"Middot HaRa'ayah, Modesty 1",159
"Middot HaRa'ayah, Desire 1",161
"Middot HaRa'ayah, Desire 2",162
"Middot HaRa'ayah, Desire 3",163
"Middot HaRa'ayah, Desire 4",164
"Middot HaRa'ayah, Rebuke 1",166
"Middot HaRa'ayah, Repair 1",168
"Middot HaRa'ayah, Repair 2",169
