ref,line_index
Yam shel Shelomoh on Beitzah 1:1:1,5
Yam shel Shelomoh on Beitzah 1:1:2,6
Yam shel Shelomoh on Beitzah 1:2:1,8
Yam shel Shelomoh on Beitzah 1:2:2,9
Yam shel Shelomoh on Beitzah 1:3:1,11
Yam shel Shelomoh on Beitzah 1:3:2,12
Yam shel Shelomoh on Beitzah 1:3:3,13
Yam shel Shelomoh on Beitzah 1:4:1,15
Yam shel Shelomoh on Beitzah 1:4:2,16
Yam shel Shelomoh on Beitzah 1:5:1,18
Yam shel Shelomoh on Beitzah 1:5:2,19
Yam shel Shelomoh on Beitzah 1:6:1,21
Yam shel Shelomoh on Beitzah 1:6:2,22
Yam shel Shelomoh on Beitzah 1:7:1,24
Yam shel Shelomoh on Beitzah 1:7:2,25
Yam shel Shelomoh on Beitzah 1:8:1,27
Yam shel Shelomoh on Beitzah 1:8:2,28
Yam shel Shelomoh on Beitzah 1:9:1,30
Yam shel Shelomoh on Beitzah 1:9:2,31
Yam shel Shelomoh on Beitzah 1:10:1,33
Yam shel Shelomoh on Beitzah 1:10:2,34
Yam shel Shelomoh on Beitzah 1:10:3,35
Yam shel Shelomoh on Beitzah 1:11:1,37
Yam shel Shelomoh on Beitzah 1:11:2,38
Yam shel Shelomoh on Beitzah 1:12:1,40
Yam shel Shelomoh on Beitzah 1:12:2,41
Yam shel Shelomoh on Beitzah 1:13:1,43
Yam shel Shelomoh on Beitzah 1:13:2,44
Yam shel Shelomoh on Beitzah 1:14:1,46
Yam shel Shelomoh on Beitzah 1:14:2,47
Yam shel Shelomoh on Beitzah 1:15:1,49
Yam shel Shelomoh on Beitzah 1:15:2,50
Yam shel Shelomoh on Beitzah 1:16:1,52
Yam shel Shelomoh on Beitzah 1:16:2,53
Yam shel Shelomoh on Beitzah 1:17:1,55
Yam shel Shelomoh on Beitzah 1:17:2,56
Yam shel Shelomoh on Beitzah 1:18:1,58
Yam shel Shelomoh on Beitzah 1:18:2,59
Yam shel Shelomoh on Beitzah 1:19:1,61
Yam shel Shelomoh on Beitzah 1:19:2,62
Yam shel Shelomoh on Beitzah 1:20:1,64
Yam shel Shelomoh on Beitzah 1:20:2,65
Yam shel Shelomoh on Beitzah 1:21:1,67
Yam shel Shelomoh on Beitzah 1:21:2,68
Yam shel Shelomoh on Beitzah 1:22:1,70
Yam shel Shelomoh on Beitzah 1:22:2,71
Yam shel Shelomoh on Beitzah 1:22:3,72
Yam shel Shelomoh on Beitzah 1:23:1,74
Yam shel Shelomoh on Beitzah 1:23:2,75
Yam shel Shelomoh on Beitzah 1:24:1,77
Yam shel Shelomoh on Beitzah 1:24:2,78
Yam shel Shelomoh on Beitzah 1:25:1,80
Yam shel Shelomoh on Beitzah 1:25:2,81
Yam shel Shelomoh on Beitzah 1:26:1,83
Yam shel Shelomoh on Beitzah 1:26:2,84
Yam shel Shelomoh on Beitzah 1:27:1,86
Yam shel Shelomoh on Beitzah 1:27:2,87
Yam shel Shelomoh on Beitzah 1:28:1,89
Yam shel Shelomoh on Beitzah 1:28:2,90
Yam shel Shelomoh on Beitzah 1:29:1,92
Yam shel Shelomoh on Beitzah 1:29:2,93
Yam shel Shelomoh on Beitzah 1:30:1,95
Yam shel Shelomoh on Beitzah 1:31:1,97
Yam shel Shelomoh on Beitzah 1:31:2,98
Yam shel Shelomoh on Beitzah 1:32:1,100
Yam shel Shelomoh on Beitzah 1:32:2,101
Yam shel Shelomoh on Beitzah 1:33:1,103
Yam shel Shelomoh on Beitzah 1:33:2,104
Yam shel Shelomoh on Beitzah 1:34:1,106
Yam shel Shelomoh on Beitzah 1:34:2,107
Yam shel Shelomoh on Beitzah 1:35:1,109
Yam shel Shelomoh on Beitzah 1:35:2,110
Yam shel Shelomoh on Beitzah 1:36:1,112
