שם הקובץ,נתיב הקובץ,תיקיית המקור,מספר שורות
ספר דרך תבונות.txt,אוצריא/תלמוד בבלי/ספרות עזר/ספר דרך תבונות.txt,Ben-Yehuda,48
שפה לנאמנים.txt,אוצריא/ספרות עזר/דקדוק/שפה לנאמנים.txt,Ben-Yehuda,273
הערות על רדיפי מיא.txt,אוצריא/ספרות עזר/דקדוק/הערות על רדיפי מיא.txt,Ben-Yehuda,23
רדיפי מיא.txt,אוצריא/ספרות עזר/דקדוק/רדיפי מיא.txt,Ben-Yehuda,904
הערות על שפה לנאמנים.txt,אוצריא/ספרות עזר/דקדוק/הערות על שפה לנאמנים.txt,Ben-Yehuda,4
זכה אשר.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי שמואל הנגיד/זכה אשר.txt,Ben-Yehuda,6
ואהבתי ושברי.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי שלמה אבן גבירול/ואהבתי ושברי.txt,Ben-Yehuda,18
אמר לאומרים.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי שלמה אבן גבירול/אמר לאומרים.txt,Ben-Yehuda,19
בפי חרבי.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי שלמה אבן גבירול/בפי חרבי.txt,Ben-Yehuda,11
אני השר.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי שלמה אבן גבירול/אני השר.txt,Ben-Yehuda,5
קטעים מתוך חי בן־מקיץ.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי אברהם אבן עזרא/קטעים מתוך חי בן־מקיץ.txt,Ben-Yehuda,20
תחבולה מהראבע.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי אברהם אבן עזרא/תחבולה מהראבע.txt,Ben-Yehuda,8
מסעי יהודה פרק ראשון.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי יהודה אלחריזי/מסעי יהודה פרק ראשון.txt,Ben-Yehuda,218
פליאה דעת העט.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי שם טוב ארדוטיאל/פליאה דעת העט.txt,Ben-Yehuda,6
חָכְמַת הַיְּהוּדִי מקאמה.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי זכריה אלצ'אהרי/חָכְמַת הַיְּהוּדִי מקאמה.txt,Ben-Yehuda,11
משל הקדמוני.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי יצחק אבן סהולה/משל הקדמוני.txt,Ben-Yehuda,856
שאלו שלום ירושלם.txt,אוצריא/ספרות עזר/תולדות/שאלו שלום ירושלם.txt,Ben-Yehuda,64
שבט יהודה.txt,אוצריא/ספרות עזר/תולדות/שבט יהודה.txt,Ben-Yehuda,1001
הערות על טובת מראה.txt,אוצריא/ספרות עזר/תולדות/הערות על טובת מראה.txt,Ben-Yehuda,2
הערות על אבן ספיר.txt,אוצריא/ספרות עזר/תולדות/הערות על אבן ספיר.txt,Ben-Yehuda,143
אבן ספיר.txt,אוצריא/ספרות עזר/תולדות/אבן ספיר.txt,Ben-Yehuda,672
הערות על שאלו שלום ירושלם.txt,אוצריא/ספרות עזר/תולדות/הערות על שאלו שלום ירושלם.txt,Ben-Yehuda,71
יון מצולה.txt,אוצריא/ספרות עזר/תולדות/יון מצולה.txt,Ben-Yehuda,110
טובת מראה.txt,אוצריא/ספרות עזר/תולדות/טובת מראה.txt,Ben-Yehuda,544
מראה הילדים.txt,אוצריא/ספרות עזר/תולדות/סגולות ורפואות/מראה הילדים.txt,Ben-Yehuda,1865
הערות על מראה הילדים.txt,אוצריא/ספרות עזר/תולדות/סגולות ורפואות/הערות על מראה הילדים.txt,Ben-Yehuda,12
הערות על חיי יוסף.txt,אוצריא/ספרות עזר/תולדות/יוסף בן מתתיהו/הערות על חיי יוסף.txt,Ben-Yehuda,165
חיי יוסף.txt,אוצריא/ספרות עזר/תולדות/יוסף בן מתתיהו/חיי יוסף.txt,Ben-Yehuda,184
הערות על סוד קיומנו או המחנך.txt,אוצריא/ספרי מוסר/אחרונים/הערות על סוד קיומנו או המחנך.txt,Ben-Yehuda,53
סוד קיומנו או המחנך.txt,אוצריא/ספרי מוסר/אחרונים/סוד קיומנו או המחנך.txt,Ben-Yehuda,622
הערות על מגדל־עז או תמת ישרים.txt,אוצריא/מחשבת ישראל/אחרונים/רמחל/הערות על מגדל־עז או תמת ישרים.txt,Ben-Yehuda,312
