ref,line_index
"Sefer Puah, First Volume; Family and Purity, Introduction 1",5
"Sefer Puah, First Volume; Family and Purity, Introduction 2",6
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:1",9
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:2",10
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:3",11
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:4",12
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:5",13
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:6",14
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:7",15
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:8",16
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:9",17
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:10",18
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:11",19
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:12",20
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:13",21
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:14",22
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:15",23
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:16",24
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:17",25
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:18",26
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:19",27
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:20",28
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:21",29
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:22",30
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:23",31
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:24",32
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:25",33
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:26",34
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:27",35
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:28",36
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:29",37
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:30",38
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:31",39
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:32",40
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:33",41
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:34",42
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:35",43
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:36",44
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:37",45
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:38",46
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:39",47
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:40",48
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:41",49
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:42",50
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:43",51
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:44",52
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:45",53
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:46",54
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:1",56
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:2",57
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:3",58
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:4",59
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:5",60
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:6",61
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:7",62
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:8",63
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:9",64
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:10",65
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:11",66
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:12",67
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:13",68
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:14",69
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:15",70
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:16",71
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:17",72
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:18",73
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:19",74
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:20",75
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:21",76
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:22",77
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:23",78
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:24",79
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:25",80
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:26",81
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:27",82
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:28",83
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:29",84
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:30",85
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:31",86
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:32",87
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:33",88
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:34",89
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:35",90
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:36",91
